Participant_ID,Completion_Code,Sex,Age,Musician_type,Excerpt_filename,Filename,Type,Musician,Excerpt,Condition,ConditionCong,PC1,PC2,PC3,PC4,PC5,fact_PC1,fact_PC2,fact_PC3,fact_PC4,fact_PC5,fact_mdn_PC1,fact_mdn_PC2,fact_mdn_PC3,fact_mdn_PC4,fact_mdn_PC5,Liking,Expressivity,GEMMES,GEMMES_Value,GEMMES_Bin
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Wa_T1,03_Mo_Wa_T1.mp4,Video,03,5MoWa,7Wa,3Cong,6,4,0.46781,-0.41459,0.97701,0.19993,-0.39574,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,GEMMES_Interior,3,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,03_Mo_Wa_T1,03_Mo_Wa_T1.mp4,Video,03,5MoWa,7Wa,3Cong,6,4,0.46781,-0.41459,0.97701,0.19993,-0.39574,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Dp_T2,05_Br_Dp_T2.mp3,Audio,05,3BrFo,1Dp,1Dp,0,1,1.10274,-0.31271,-0.89647,0.07646,0.29358,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,2High,2High,GEMMES_Flow,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Dp_T2,05_Br_Dp_T2.mp3,Audio,05,3BrFo,1Dp,1Dp,0,1,1.10274,-0.31271,-0.89647,0.07646,0.29358,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,2High,2High,GEMMES_Movement,1,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Dp_T2,05_Br_Dp_T2.mp3,Audio,05,3BrFo,1Dp,1Dp,0,1,1.10274,-0.31271,-0.89647,0.07646,0.29358,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,2High,2High,GEMMES_Force,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Dp_T2,05_Br_Dp_T2.mp3,Audio,05,3BrFo,1Dp,1Dp,0,1,1.10274,-0.31271,-0.89647,0.07646,0.29358,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,2High,2High,GEMMES_Interior,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Dp_T2,05_Br_Dp_T2.mp3,Audio,05,3BrFo,1Dp,1Dp,0,1,1.10274,-0.31271,-0.89647,0.07646,0.29358,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,2High,2High,GEMMES_Wandering,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Fl_T2,05_Br_Fl_T2.mp3,Audio,05,3BrFo,3Fl,4Incong,0,0,0.4878,0.32278,-0.60451,0.41966,-0.99907,1Low,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,GEMMES_Flow,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Fl_T2,05_Br_Fl_T2.mp3,Audio,05,3BrFo,3Fl,4Incong,0,0,0.4878,0.32278,-0.60451,0.41966,-0.99907,1Low,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,GEMMES_Movement,0,0
R_10HEAZeVcP8Usas,86459230,F,23,Mus,05_Br_Fl_T2,05_Br_Fl_T2.mp3,Audio,05,3BrFo,3Fl,4Incong,0,0,0.4878,0.32278,-0.60451,0.41966,-0.99907,1Low,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,GEMMES_Force,0,0
